Power Mode,Precision,Resolution,Simulated Latency (ms),Simulated FPS,Simulated Accuracy (mAP %)
low_power,FP32,320x320,29.062499999999993,34.40860215053764,63.0
low_power,FP32,640x640,37.500000000000036,26.666666666666643,78.0
low_power,FP32,1280x1280,71.25000000000003,14.03508771929824,84.0
low_power,FP16,320x320,9.687500000000005,103.22580645161284,62.8
low_power,FP16,640x640,12.499999999999995,80.00000000000003,77.8
low_power,FP16,1280x1280,23.750000000000007,42.105263157894726,83.8
low_power,INT8,320x320,3.874999999999997,258.0645161290325,61.5
low_power,INT8,640x640,5.000000000000002,199.99999999999994,76.5
low_power,INT8,1280x1280,9.500000000000005,105.26315789473678,82.5
balanced,FP32,320x320,13.95000000000001,71.68458781362003,63.0
balanced,FP32,640x640,18.00000000000001,55.55555555555552,78.0
balanced,FP32,1280x1280,34.2,29.23976608187134,84.0
balanced,FP16,320x320,4.649999999999994,215.05376344086048,62.8
balanced,FP16,640x640,6.000000000000003,166.6666666666666,77.8
balanced,FP16,1280x1280,11.400000000000004,87.719298245614,83.8
balanced,INT8,320x320,1.8600000000000003,537.6344086021504,61.5
balanced,INT8,640x640,2.4,416.6666666666667,76.5
balanced,INT8,1280x1280,4.560000000000002,219.29824561403498,82.5
max_performance,FP32,320x320,11.624999999999998,86.0215053763441,63.0
max_performance,FP32,640x640,15.000000000000012,66.66666666666661,78.0
max_performance,FP32,1280x1280,28.49999999999997,35.08771929824565,84.0
max_performance,FP16,320x320,3.874999999999997,258.0645161290325,62.8
max_performance,FP16,640x640,5.000000000000002,199.99999999999994,77.8
max_performance,FP16,1280x1280,9.500000000000005,105.26315789473678,83.8
max_performance,INT8,320x320,1.55,645.1612903225806,61.5
max_performance,INT8,640x640,2.0000000000000013,499.99999999999966,76.5
max_performance,INT8,1280x1280,3.799999999999998,263.15789473684225,82.5
